Station,Latitude,Longitude,Date,Time,Parameter,Result,Units,Rainfall in Last 24 hours,Tide Stage,Weather,Wind/Current Direction
AR1,32.776283,-79.953450,2017-05-03,0841,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,clear,S
AR1,32.776283,-79.953450,2017-05-10,0824,Enterococci,10,MPN/100 mL,0.00,flood,clear,NW
AR1,32.776283,-79.953450,2017-05-17,0825,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,SW
AR1,32.776283,-79.953450,2017-05-24,0823,Enterococci,301,MPN/100 mL,3.10,flood,fair,SW
AR1,32.776283,-79.953450,2017-05-31,0815,Enterococci,10,MPN/100 mL,0.00,ebb,clear,calm
AR1,32.776283,-79.953450,2017-06-07,0820,Enterococci,85,MPN/100 mL,3.25,flood,rain,N
AR1,32.776283,-79.953450,2017-06-14,0842,Enterococci,10,MPN/100 mL,0.00,1/4 flood,fair,SW
AR1,32.776283,-79.953450,2017-06-21,0831,Enterococci,108,MPN/100 mL,0.65,1/4 ebb,cloud,SW
AR1,32.776283,-79.953450,2017-06-28,0830,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,NE
AR1,32.776283,-79.953450,2017-07-05,0914,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,clear,SW
AR1,32.776283,-79.953450,2017-07-12,0814,Enterococci,131,MPN/100 mL,0.00,3/4 flood,clear,calm
AR1,32.776283,-79.953450,2017-07-19,0841,Enterococci,41,MPN/100 mL,0.00,3/4 ebb,clear,calm
AR1,32.776283,-79.953450,2017-07-26,1012,Enterococci,20,MPN/100 mL,0.08,3/4 flood,fair,NE
AR1,32.776283,-79.953450,2017-08-02,0822,Enterococci,20,MPN/100 mL,0.00,3/4 ebb,clear,calm
AR1,32.776283,-79.953450,2017-08-09,0815,Enterococci,52,MPN/100 mL,0.34,3/4 flood,cloud,W
AR1,32.776283,-79.953450,2017-08-16,0837,Enterococci,108,MPN/100 mL,0.00,3/4 ebb,clear,W
AR1,32.776283,-79.953450,2017-08-23,0843,Enterococci,30,MPN/100 mL,0.00,3/4 flood,fair,calm
AR1,32.776283,-79.953450,2017-08-30,1045,Enterococci,98,MPN/100 mL,0.00,1/4 flood,cloud,NE
AR1,32.776283,-79.953450,2017-09-14,0953,Enterococci,294,MPN/100 mL,0.00,ebb,fair,SW
AR1,32.776283,-79.953450,2017-09-20,0843,Enterococci,31,MPN/100 mL,0.00,flood,cloud,W
AR1,32.776283,-79.953450,2017-09-27,0828,Enterococci,97,MPN/100 mL,0.00,ebb,clear,NW
AR1,32.776283,-79.953450,2017-10-04,0832,Enterococci,20,MPN/100 mL,0.00,1/4 ebb,clear,NE
AR1,32.776283,-79.953450,2017-10-11,0842,Enterococci,134,MPN/100 mL,0.00,ebb,clear,calm
AR1,32.776283,-79.953450,2017-10-18,0848,Enterococci,20,MPN/100 mL,0.00,flood,clear,N
AR1,32.776283,-79.953450,2017-10-25,0820,Enterococci,223,MPN/100 mL,0.00,1/4 flood,clear,NW
AR1,32.776283,-79.953450,2018-05-02,0834,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,S
AR1,32.776283,-79.953450,2018-05-09,0813,Enterococci,20,MPN/100 mL,0.00,1/2 ebb,fair,WNW
AR1,32.776283,-79.953450,2018-05-16,0840,Enterococci,20,MPN/100 mL,0.01,full flood,cloud,S
AR1,32.776283,-79.953450,2018-05-23,0815,Enterococci,30,MPN/100 mL,0.00,1/2 ebb,fair,S
AR1,32.776283,-79.953450,2018-06-06,0842,Enterococci,41,MPN/100 mL,0.00,full ebb,fair,SW
AR1,32.776283,-79.953450,2018-06-13,0830,Enterococci,41,MPN/100 mL,0.11,full flood,cloud,N
AR1,32.776283,-79.953450,2018-06-20,0838,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,S
AR1,32.776283,-79.953450,2018-06-27,0827,Enterococci,41,MPN/100 mL,0.00,full flood,fair,NE/calm
AR1,32.776283,-79.953450,2018-07-02,0820,Enterococci,30,MPN/100 mL,0.00,1/2 flood,clear,calm
AR1,32.776283,-79.953450,2018-07-11,1005,Enterococci,30,MPN/100 mL,0.00,1/2 ebb,fair,SW
AR1,32.776283,-79.953450,2018-07-18,0943,Enterococci,41,MPN/100 mL,0.26,1/4 flood,cloud,SW
AR1,32.776283,-79.953450,2018-07-25,0840,Enterococci,5247,MPN/100 mL,0.07,1/4 ebb,fair,calm
AR1,32.776283,-79.953450,2018-08-01,0830,Enterococci,168,MPN/100 mL,0.42,1/2 flood,cloud,SW
AR1,32.776283,-79.953450,2018-08-08,0828,Enterococci,51,MPN/100 mL,0.00,1/2 ebb,clear,SW
AR1,32.776283,-79.953450,2018-08-15,0830,Enterococci,109,MPN/100 mL,0.22,1/2 flood,clear,SW
AR1,32.776283,-79.953450,2018-08-22,0836,Enterococci,41,MPN/100 mL,0.00,1/4 ebb,fair,SW
AR1,32.776283,-79.953450,2018-08-29,0830,Enterococci,119,MPN/100 mL,0.00,3/4 flood,clear,calm
AR1,32.776283,-79.953450,2018-09-05,0824,Enterococci,41,MPN/100 mL,0.00,3/4 ebb,fair,calm
AR1,32.776283,-79.953450,2018-09-19,0831,Enterococci,96,MPN/100 mL,0.00,1/2 ebb,clear,calm
AR1,32.776283,-79.953450,2018-09-26,0825,Enterococci,10,MPN/100 mL,0.00,3/4 flood,clear,NW
AR1,32.776283,-79.953450,2018-10-03,0837,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,calm
AR1,32.776283,-79.953450,2018-10-12,0825,Enterococci,158,MPN/100 mL,0.00,1/4 flood,clear,NW
AR1,32.776283,-79.953450,2018-10-17,0903,Enterococci,10,MPN/100 mL,0.00,full ebb,cloud,calm
AR1,32.776283,-79.953450,2018-10-24,0837,Enterococci,10,MPN/100 mL,0.00,full flood,clear,N
AR1,32.776283,-79.953450,2018-10-31,0840,Enterococci,51,MPN/100 mL,0.00,full ebb,clear,N
AR1,32.776283,-79.953450,2019-05-08,1042,Enterococci,20,MPN/100 mL,0.00,3/4 flood,clear,E/SE
AR1,32.776283,-79.953450,2019-05-15,0848,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,clear,NE
AR1,32.776283,-79.953450,2019-05-22,0838,Enterococci,10,MPN/100 mL,0.00,1/2 flood,cloud,SE
AR1,32.776283,-79.953450,2019-05-29,0826,Enterococci,10,MPN/100 mL,0.00,1/2 ebb,clear,W
AR1,32.776283,-79.953450,2019-06-05,0836,Enterococci,20,MPN/100 mL,0.05,3/4 flood,cloud,SE
AR1,32.776283,-79.953450,2019-06-13,0826,Enterococci,132,MPN/100 mL,3.24,1/4 ebb,cloud,SW
AR1,32.776283,-79.953450,2019-06-19,0838,Enterococci,10,MPN/100 mL,0.00,3/4 flood,cloud,SW
AR1,32.776283,-79.953450,2019-06-26,0823,Enterococci,10,MPN/100 mL,0.00,full ebb,clear,N
AR1,32.776283,-79.953450,2019-07-01,0824,Enterococci,10,MPN/100 mL,0.00,full flood,clear,calm
AR1,32.776283,-79.953450,2019-07-10,0840,Enterococci,108,MPN/100 mL,0.02,3/4 ebb,cloud,E
AR1,32.776283,-79.953450,2019-08-07,0820,Enterococci,52,MPN/100 mL,0.00,full ebb,clear,calm
AR1,32.776283,-79.953450,2019-08-14,0829,Enterococci,10,MPN/100 mL,0.00,full flood,cloud,SW
AR1,32.776283,-79.953450,2019-08-28,0826,Enterococci,10,MPN/100 mL,0.00,1/4 ebb,cloud,SW
AR1,32.776283,-79.953450,2019-09-11,0846,Enterococci,350,MPN/100 mL,0.02,1/4 ebb,fair,NE
AR1,32.776283,-79.953450,2019-09-18,0840,Enterococci,83,MPN/100 mL,0.00,1/2 flood,cloud,N
AR1,32.776283,-79.953450,2019-09-25,0835,Enterococci,10,MPN/100 mL,0.00,3/4 ebb,fair, SW
AR1,32.776283,-79.953450,2019-10-02,0830,Enterococci,96,MPN/100 mL,0.00,1/2 flood,clear,calm
AR1,32.776283,-79.953450,2019-10-09,0835,Enterococci,20,MPN/100 mL,0.00,1/4 ebb,cloud,N
AR1,32.776283,-79.953450,2019-10-17,0834,Enterococci,63,MPN/100 mL,0.07,3/4 flood,fair,calm
AR1,32.776283,-79.953450,2019-10-23,0824,Enterococci,118,MPN/100 mL,0.00,3/4 ebb,fair,NW
AR1,32.776283,-79.953450,2019-10-30,0830,Enterococci,52,MPN/100 mL,0.00,3/4 flood,cloud,N
AR2,32.788310,-79.963338,2017-05-03,0816,Enterococci,135,MPN/100 mL,0.00,3/4 ebb,clear,NW
AR2,32.788310,-79.963338,2017-05-10,0750,Enterococci,41,MPN/100 mL,0.00,flood,clear,W
AR2,32.788310,-79.963338,2017-05-17,0826,Enterococci,31,MPN/100 mL,0.00,1/4 flood,clear,S
AR2,32.788310,-79.963338,2017-05-24,0806,Enterococci,1968,MPN/100 mL,3.10,flood,fair,SW
AR2,32.788310,-79.963338,2017-05-31,0820,Enterococci,30,MPN/100 mL,0.00,ebb,fair,SW
AR2,32.788310,-79.963338,2017-06-07,0804,Enterococci,301,MPN/100 mL,3.25,flood,rain,calm
AR2,32.788310,-79.963338,2017-06-14,0816,Enterococci,466,MPN/100 mL,0.00,1/4 flood,fair,W
AR2,32.788310,-79.963338,2017-06-21,0807,Enterococci,3968,MPN/100 mL,0.65,1/4 ebb,cloud,calm
AR2,32.788310,-79.963338,2017-06-28,0803,Enterococci,30,MPN/100 mL,0.00,1/4 flood,fair,E
AR2,32.788310,-79.963338,2017-07-05,0850,Enterococci,30,MPN/100 mL,0.00,1/2 ebb,clear,SW
AR2,32.788310,-79.963338,2017-07-12,0757,Enterococci,11199,MPN/100 mL,0.00,3/4 flood,clear,calm
AR2,32.788310,-79.963338,2017-07-19,0810,Enterococci,74,MPN/100 mL,0.00,3/4 ebb,clear,calm
AR2,32.788310,-79.963338,2017-07-26,0806,Enterococci,504,MPN/100 mL,0.08,1/2 flood,cloud,calm
AR2,32.788310,-79.963338,2017-08-02,0758,Enterococci,241,MPN/100 mL,0.00,3/4 ebb,fair,calm
AR2,32.788310,-79.963338,2017-08-09,0822,Enterococci,266,MPN/100 mL,0.34,flood,cloud,calm
AR2,32.788310,-79.963338,2017-08-16,0804,Enterococci,552,MPN/100 mL,0.00,3/4 ebb,clear,W
AR2,32.788310,-79.963338,2017-08-23,0758,Enterococci,376,MPN/100 mL,0.00,3/4 flood,fair,SW
AR2,32.788310,-79.963338,2017-08-30,0824,Enterococci,328,MPN/100 mL,0.00,3/4 ebb,fair,N
AR2,32.788310,-79.963338,2017-09-06,0822,Enterococci,269,MPN/100 mL,0.98,flood,rain,calm
AR2,32.788310,-79.963338,2017-09-14,0806,Enterococci,332,MPN/100 mL,0.00,3/4 ebb,fair,calm
AR2,32.788310,-79.963338,2017-09-20,0813,Enterococci,62,MPN/100 mL,0.00,3/4 flood,fair,calm
AR2,32.788310,-79.963338,2017-09-27,0828,Enterococci,84,MPN/100 mL,0.00,ebb,clear,NW
AR2,32.788310,-79.963338,2017-10-04,0815,Enterococci,63,MPN/100 mL,0.00,1/4 ebb,clear,NE
AR2,32.788310,-79.963338,2017-10-11,0811,Enterococci,199,MPN/100 mL,0.00,1/4 flood,clear,calm
AR2,32.788310,-79.963338,2017-10-18,0804,Enterococci,20,MPN/100 mL,0.00,flood,clear,N
AR2,32.788310,-79.963338,2017-10-25,0812,Enterococci,221,MPN/100 mL,0.00,1/4 flood,clear,W
AR2,32.788310,-79.963338,2018-05-02,0803,Enterococci,63,MPN/100 mL,0.00,3/4 flood,clear,calm
AR2,32.788310,-79.963338,2018-05-09,0759,Enterococci,20,MPN/100 mL,0.00,3/4 ebb,fair,N
AR2,32.788310,-79.963338,2018-05-16,0812,Enterococci,31,MPN/100 mL,0.01,3/4 flood,cloud,S
AR2,32.788310,-79.963338,2018-05-23,0753,Enterococci,175,MPN/100 mL,0.00,3/4 ebb,clear,SW
AR2,32.788310,-79.963338,2018-05-30,0810,Enterococci,595,MPN/100 mL,0.58,3/4 flood,rain,S
AR2,32.788310,-79.963338,2018-06-06,0814,Enterococci,20,MPN/100 mL,0.00,full ebb,fair,NW
AR2,32.788310,-79.963338,2018-06-13,0811,Enterococci,97,MPN/100 mL,0.11,full flood,cloud,N
AR2,32.788310,-79.963338,2018-06-20,0816,Enterococci,74,MPN/100 mL,0.00,full ebb,clear,W
AR2,32.788310,-79.963338,2018-06-27,0808,Enterococci,132,MPN/100 mL,0.00,full flood,fair,W
AR2,32.788310,-79.963338,2018-07-02,0755,Enterococci,651,MPN/100 mL,0.00,1/2 flood,fair,N
AR2,32.788310,-79.963338,2018-07-11,0806,Enterococci,121,MPN/100 mL,0.00,1/4 ebb,fair,W
AR2,32.788310,-79.963338,2018-07-18,0813,Enterococci,84,MPN/100 mL,0.26,slack ebb,fair,W
AR2,32.788310,-79.963338,2018-07-25,0808,Enterococci,2367,MPN/100 mL,0.07,1/4 ebb,fair,SW
AR2,32.788310,-79.963338,2018-08-01,0806,Enterococci,5504,MPN/100 mL,0.42,1/2 flood,fair,SW
AR2,32.788310,-79.963338,2018-08-08,0757,Enterococci,204,MPN/100 mL,0.00,1/4 ebb,clear,SW
AR2,32.788310,-79.963338,2018-08-15,0806,Enterococci,118,MPN/100 mL,0.22,1/2 flood,clear,W
AR2,32.788310,-79.963338,2018-08-22,0804,Enterococci,214,MPN/100 mL,0.00,1/4 ebb,fair,SW
AR2,32.788310,-79.963338,2018-08-29,0810,Enterococci,84,MPN/100 mL,0.00,3/4 flood,clear,calm
AR2,32.788310,-79.963338,2018-09-05,0802,Enterococci,241,MPN/100 mL,0.00,3/4 ebb,fair,E
AR2,32.788310,-79.963338,2018-09-19,0802,Enterococci,490,MPN/100 mL,0.00,3/4 ebb,clear,N
AR2,32.788310,-79.963338,2018-09-26,0800,Enterococci,20,MPN/100 mL,0.00,3/4 flood,clear,W
AR2,32.788310,-79.963338,2018-10-03,0820,Enterococci,437,MPN/100 mL,0.00,3/4 ebb,clear,N
AR2,32.788310,-79.963338,2018-10-12,0805,Enterococci,171,MPN/100 mL,0.00,1/2 flood,clear,NW
AR2,32.788310,-79.963338,2018-10-17,0813,Enterococci,228,MPN/100 mL,0.00,3/4 ebb,fair,NW
AR2,32.788310,-79.963338,2018-10-24,0818,Enterococci,63,MPN/100 mL,0.00,full flood,clear,N
AR2,32.788310,-79.963338,2018-10-31,0810,Enterococci,121,MPN/100 mL,0.00,full ebb,clear,calm
AR2,32.788310,-79.963338,2019-05-08,0813,Enterococci,31,MPN/100 mL,0.00,1/2 flood,clear,S
AR2,32.788310,-79.963338,2019-05-15,0812,Enterococci,31,MPN/100 mL,0.00,1/2 ebb,clear,N
AR2,32.788310,-79.963338,2019-05-22,0810,Enterococci,41,MPN/100 mL,0.00,1/2 flood,clear,E/NE
AR2,32.788310,-79.963338,2019-05-29,0804,Enterococci,122,MPN/100 mL,0.00,1/2 ebb,clear,W
AR2,32.788310,-79.963338,2019-06-05,0805,Enterococci,51,MPN/100 mL,0.05,3/4 flood,cloud,S
AR2,32.788310,-79.963338,2019-06-13,0810,Enterococci,1455,MPN/100 mL,3.24,1/2 ebb,cloud,SW
AR2,32.788310,-79.963338,2019-06-19,0807,Enterococci,41,MPN/100 mL,0.00,3/4 flood,cloud,SW
AR2,32.788310,-79.963338,2019-06-26,0759,Enterococci,30,MPN/100 mL,0.00,3/4 ebb,clear,NW
AR2,32.788310,-79.963338,2019-07-01,0810,Enterococci,10,MPN/100 mL,0.00,full flood,clear,W
AR2,32.788310,-79.963338,2019-07-10,0829,Enterococci,144,MPN/100 mL,0.02,3/4 ebb,cloud,NW
AR2,32.788310,-79.963338,2019-07-17,0816,Enterococci,63,MPN/100 mL,0.00,full flood,clear,calm
AR2,32.788310,-79.963338,2019-07-24,0805,Enterococci,3681,MPN/100 mL,1.12,full ebb,cloud,no data
AR2,32.788310,-79.963338,2019-08-07,0804,Enterococci,63,MPN/100 mL,0.00,full ebb,clear,W
AR2,32.788310,-79.963338,2019-08-14,0806,Enterococci,31,MPN/100 mL,0.00,slack flood,cloud,W
AR2,32.788310,-79.963338,2019-08-28,0813,Enterococci,30,MPN/100 mL,0.00,1/4 ebb,fair,calm
AR2,32.788310,-79.963338,2019-09-11,0822,Enterococci,1439,MPN/100 mL,0.02,1/4 ebb,clear,NE
AR2,32.788310,-79.963338,2019-09-18,0818,Enterococci,166,MPN/100 mL,0.00,1/2 flood,cloud,NE
AR2,32.788310,-79.963338,2019-09-25,0817,Enterococci,197,MPN/100 mL,0.00,1/4 ebb,clear,S
AR2,32.788310,-79.963338,2019-10-02,0831,Enterococci,226,MPN/100 mL,0.00,1/2 flood,clear,calm
AR2,32.788310,-79.963338,2019-10-09,0810,Enterococci,146,MPN/100 mL,0.00,1/2 ebb,cloud,NE
AR2,32.788310,-79.963338,2019-10-17,0817,Enterococci,291,MPN/100 mL,0.07,3/4 flood,fair,N
AR2,32.788310,-79.963338,2019-10-23,0815,Enterococci,168,MPN/100 mL,0.00,3/4 ebb,clear,NW
AR2,32.788310,-79.963338,2019-10-30,0817,Enterococci,155,MPN/100 mL,0.00,3/4 flood,cloud,N
CCI,32.762765,-79.856175,2017-05-03,0949,Enterococci,10,MPN/100 mL,0.00,1/4 flood,clear,NW
CCI,32.762765,-79.856175,2017-05-10,0928,Enterococci,41,MPN/100 mL,0.00,1/4 ebb,clear,W
CCI,32.762765,-79.856175,2017-05-17,1000,Enterococci,20,MPN/100 mL,0.00,1/2 flood,clear,S
CCI,32.762765,-79.856175,2017-05-24,0940,Enterococci,233,MPN/100 mL,3.10,1/2 ebb,fair,SW
CCI,32.762765,-79.856175,2017-05-31,1015,Enterococci,10,MPN/100 mL,0.00,1/2 flood,fair,calm
CCI,32.762765,-79.856175,2017-06-07,0949,Enterococci,908,MPN/100 mL,3.25,1/2 ebb,rain,calm
CCI,32.762765,-79.856175,2017-06-14,1006,Enterococci,10,MPN/100 mL,0.00,1/2 flood,clear,W
CCI,32.762765,-79.856175,2017-06-21,0941,Enterococci,73,MPN/100 mL,0.65,1/2 ebb,cloud,SW
